WKT,id,nom_ets,adresse,commune,lib_regime,url_fiche,lib_seveso
"POINT (6.21414069304876 47.2508526391597)","10186",BOUQUET ROLAND BERNARD CHRISTIAN,BOUQUET ROLAND,BOUCLANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500127,
"POINT (6.27166573882528 47.3788980895996)","10187",SCL DE LA BRETE,10 RUE DE LA CORVEE,LA BRETENIERE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500155,
"POINT (6.13865698699258 47.3350161259403)","10188",GAEC DESCHAMPS,6 chemin de Chaudefontaine,CHAMPOUX,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500184,
"POINT (6.1881761195069 47.2117816348476)","10189",SICA LA CHEVILLOTTE,,LA CHEVILLOTTE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500240,
"POINT (6.18445786522086 47.360446068294)","10190",BITARD DENIS,MIESLOT,CORCELLE MIESLOT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500255,
"POINT (5.93833312705255 47.3366373512488)","10191",RABOLIN MARIE,3 RUE DES CORVEES,CUSSEY SUR L OGNON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500278,
"POINT (6.32212359602354 47.3384252680771)","10192",GAEC DE LA FONTAINE,2 place du Lavoir,ESNANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500328,
"POINT (6.02034475486289 47.1936301854889)","10193",SCAF La Fruitière de Fontain,ZA Route de Pugey,FONTAIN,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500392,
"POINT (6.30365537633316 47.2387034258421)","10194",GAEC KOLLY RENAUD,Route de Baume les Dames,GONSANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500450,
"POINT (6.28298656037323 47.2115747025044)","10195",GAEC DES CHAZEAUX,LES CHAZEAUX,GONSANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500451,
"POINT (6.35116919036888 47.3847412373861)","10196",GAEC DES BELLES FEUILLES,4 Rue des Prés,LUXIOL,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500582,
"POINT (6.24052763470842 47.2581098953177)","10197",GAEC DU CARON,"10, rue de la Crait",BOUCLANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500689,
"POINT (5.97145405783202 47.2613368266546)","10198",JOBARD ROGER,10 rue du Moulin,PIREY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500726,
"POINT (5.93918124039861 47.2565650196666)","10199",GAEC PRETET,5 rue Charrière Salée,POUILLEY LES VIGNES,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500747,
"POINT (6.20396759936503 47.3514314837407)","10200",EARL BRAHIER,10 CHEMIN DU MONT D'OR - LUSANS,POULIGNEY LUSANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052501088,
"POINT (6.19830940900637 47.3341358126413)","10201",GAEC MESNIER,11 Rue Saint Martin,POULIGNEY LUSANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500751,
"POINT (6.16112937249263 47.368678223564)","10202",VIENNET FRERES,les Alouettes,RIGNEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500774,
"POINT (6.10129074698984 47.2349348684297)","10203",EARL DE LA PEROUSE,LA PEROUSE - RUE DU LAC,SAONE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500832,
"POINT (6.24079987427611 47.3907549168196)","10204",EARL JACQUIN JEAN-PAUL,"LA VERJOULOT - 7, rue Cote Villot",LA TOUR DE SCAY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500876,
"POINT (6.26321690511327 47.3636568273314)","10205",GAEC DES TILLEULS,13 Bis RUE DES TILLEULS,VAL DE ROULANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0052500889,
"POINT (6.19197208815345 47.4312157625881)","10206",CINQ CHENES [Gaec des],1 CHEMIN DU MOULIN - MARLOZ,CENANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000183,
"POINT (5.93336415148097 47.4222067931117)","10207",VIEILLE TUILERIE (GAEC de la),M. BILAT REMI - 4 B RUE DES CRALOTS,OISELAY ET GRACHAUX,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000586,
"POINT (6.20308144174587 47.476217620109)","10208",FOULTIERE (GAEC de la),ROUTE DE MAGNONCOURT,ROCHE SUR LINOTTE ET SORANS LES CORDIERS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0057000658,
"POINT (6.0235971954965 47.2569075125429)","10209",BESANCON PIECES AUTO,24 rue du Docteur Mouras,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905762,
"POINT (6.0235971954965 47.2569075125429)","10210",CRYLA,Rue Sophie Germain,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005905795,
"POINT (6.22118713874589 47.4257884558026)","10211",MONTS ET TERROIRS SAS,14 route de Munans,LARIANS ET MUNANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906020,
"POINT (5.97191098023904 47.3188824297134)","10212",BORDINI,Lieu dit Verpillières,GENEUILLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906185,
"POINT (6.14948091419855 47.4914006146035)","10213",CHOUET Philippe,Lieu-Dit En la Bouliotte,AUTHOISON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906234,
"POINT (6.14948091419855 47.4914006146035)","10214",TP CHOUET,,AUTHOISON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906294,
"POINT (6.0235971954965 47.2569075125429)","10215",ERDF (Besançon - Tilleroyes),25 rue Thomas Edison,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906479,
"POINT (5.93421315613559 47.3921520321511)","10216",SOITOUT Alain,65 Grande Rue,BONNEVENT VELLOREILLE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005906619,
"POINT (6.28689772565794 47.1905412496336)","10217",GARAGE CUSENIER DANIEL,32 RUE ELYSEE CUSENIER,ETALANS,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003303404,
"POINT (6.0235971954965 47.2569075125429)","10218",CENTRAKOR,RUE DE DOLE,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0003302969,
"POINT (6.0235971954965 47.2569075125429)","10219",VILLE DE BESANCON (SERVICE DE L(EAU),Réservoir de Planoise - Rue du Château d'Eau,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903240,
"POINT (5.99908133920613 47.3783707214247)","10220",GAEC BOILLOT,Chemin Boulot,BOULT,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903753,
"POINT (5.97259395718839 47.3816818331595)","10221",GAEC DES AURORES,M. FOLIN REGIS - 1b rue Perrière Franche,CHAUX LA LOTIERE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903755,
"POINT (5.9837484993363 47.2434715270879)","10222",BESANCON POIDS LOURDS (Gabor),rue Dennis Gabor - BP 2015,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902484,
"POINT (6.05882156251461 47.2771011641757)","10223",VALNET,"23, Route de Marchaux",THISE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902504,
"POINT (6.0235971954965 47.2569075125429)","10224",SNB,2 rue de Chardonnet,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903317,
"POINT (6.02663142902598 47.2400622043541)","10225",CENTRE SAINT PIERRE,28 rue de la République,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005902874,
"POINT (6.05966615078602 47.2389424553013)","10226",EDF (Châteaufarine parking GEANT),Zone commerciale de Châteaufarine - Parking de GEANT,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012900095,
"POINT (6.03289189707365 47.2647369425771)","10227",GRUPO ANTOLIN,12 rue du Barlot - BP 909,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012900035,
"POINT (6.33203630789342 47.2688241317193)","10228",SCIERIE CUCHE ROLAND ET FILS SARL,4 rue de la Mairie,AISSEY,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012900056,
"POINT (6.0833248204731 47.2851642891284)","10229",AMTIS (longues raies),4 rue des Longues Raies - Zi de Thise,THISE,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0012900121,
"POINT (6.0235971954965 47.2569075125429)","10230",VILLE DE BESANCON (Piscine Mallarmé),2 rue Stépane mallarmé,BESANCON,Autres régimes,https://www.georisques.gouv.fr/risques/installations/donnees/details/0005903315,
